Movie ID,Title,Year,Rated,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metacritic Rating,IMDb Rating,IMDb Votes,IMDb ID
13-2010,13,2010,R,91 min,"Crime, Drama, Thriller",Géla Babluani,"Géla Babluani (screenplay), Greg Pruss (screenplay), Géla Babluani (screenplay ""13 Tzameti"")","Sam Riley, Alice Barrett, Gaby Hoffmann, Jason Statham","A naive young man assumes a dead man's identity and finds himself embroiled in an underground world of power, violence, and chance where men gamble behind closed doors on the lives of other men.",English,USA,1 win & 1 nomination.,29,6.1,"38,984",tt0798817
The 13th Letter-1951,The 13th Letter,1951,N/A,85 min,"Film-Noir, Mystery",Otto Preminger,"Howard Koch (screen play), Louis Chavance (story ""Le Corbeau"")","Linda Darnell, Charles Boyer, Michael Rennie, Constance Smith",Respectable citizens receive anonymous letters revealing their adulterous relationships.,English,USA,N/A,N/A,6.6,244,tt0043251
101 Dalmatians-1996,101 Dalmatians,1996,G,103 min,"Adventure, Comedy, Crime, Family",Stephen Herek,"Dodie Smith (novel), John Hughes (screenplay)","Glenn Close, Jeff Daniels, Joely Richardson, Joan Plowright","An evil high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.","English, Spanish","USA, UK",Nominated for 1 Golden Globe. Another 3 wins & 9 nominations.,49,5.7,"95,152",tt0115433
2001 Maniacs-2005,2001 Maniacs,2005,R,87 min,"Comedy, Horror",Tim Sullivan,"Chris Kobin, Tim Sullivan","Robert Englund, Lin Shaye, Giuseppe Andrews, Jay Gillespie","Eight college students travelling to Florida for Spring Break stumble into a remote town in Georgia, where they are set upon by the residents.",English,USA,1 nomination.,N/A,5.3,"11,567",tt0264323
Tokyo Godfathers-2003,Tokyo Godfathers,2003,PG-13,92 min,"Animation, Adventure, Comedy, Drama","Satoshi Kon, Shôgo Furuya(co-director)","Satoshi Kon (screenplay), Satoshi Kon (story), Keiko Nobumoto (screenplay)","Tôru Emori, Aya Okamoto, Yoshiaki Umegaki, Shôzô Îzuka","On Christmas Eve, three homeless people living on the streets of Tokyo find a newborn baby among the trash and set out to find its parents.","Japanese, Spanish, English",Japan,8 wins & 1 nomination.,73,7.8,"27,570",tt0388473
3 Idiotas-2017,3 Idiotas,2017,PG-13,106 min,"Comedy, Family",Carlos Bolado,"Antonio Abascal (screenplay by), Carlos Bolado (screenplay by), Martha Higareda (screenplay by), Cory Brusseau (screenplay by), Vidhu Vinod Chopra (based on the movie ""3 Idiots"" written by), Rajkumar Hirani (based on the movie ""3 Idiots"" written by), Abhijat Joshi (based on the movie ""3 Idiots"" written by)","Martha Higareda, Alfonso Dosal, Christian Vazquez, German Valdez",A group of friends embark on a fun adventure determined to find a college roommate who disappeared without a trace on graduation day.,Spanish,Mexico,1 nomination.,N/A,4.2,707,tt3685624
3:10 to Yuma-2007,3:10 to Yuma,2007,R,122 min,"Action, Crime, Drama, Western",James Mangold,"Halsted Welles (screenplay), Michael Brandt (screenplay), Derek Haas (screenplay), Elmore Leonard (short story)","Russell Crowe, Christian Bale, Logan Lerman, Dallas Roberts",A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,"English, Chinese",USA,Nominated for 2 Oscars. Another 3 wins & 30 nominations.,76,7.7,"274,864",tt0381849
A Southern Yankee-1948,A Southern Yankee,1948,NOT RATED,90 min,"Comedy, History, War, Western",Edward Sedgwick,"Melvin Frank (story), Norman Panama (story), Harry Tugend","Red Skelton, Brian Donlevy, Arlene Dahl, George Coulouris",A hapless bellboy in a St. Louis hotel near the end of the Civil War is recruited by the Union secret service to impersonate a notorious Confederate spy.,English,USA,N/A,N/A,6.8,424,tt0040825
Adventures in Babysitting-2016,Adventures in Babysitting,2016,TV-G,105 min,"Adventure, Comedy, Family",John Schultz,"Tiffany Paulsen, David Simkins (Original Story)","Sabrina Carpenter, Sofia Carson, Nikki Hahn, Mallory James Mahoney","Two teen rival babysitters, Jenny and Lola, team up to hunt down one of their kids who accidentally runs away into the big city without any supervision.",English,USA,2 nominations.,N/A,6.0,"2,497",tt4456850
An Affair to Remember-1957,An Affair to Remember,1957,Not Rated,115 min,"Drama, Romance",Leo McCarey,"Delmer Daves (screenplay), Leo McCarey (screenplay), Leo McCarey (story), Mildred Cram (story), Donald Ogden Stewart (screenplay)","Cary Grant, Deborah Kerr, Richard Denning, Neva Patterson",A couple falls in love and agrees to meet in six months at the Empire State Building - but will it happen?,"English, French, Italian",USA,Nominated for 4 Oscars. Another 2 wins & 2 nominations.,N/A,7.5,"26,079",tt0050105
