Movie ID,Title,Year,Type
13-2010,13,2010,Remake
The 13th Letter-1951,The 13th Letter,1951,Remake
101 Dalmatians-1996,101 Dalmatians,1996,Remake
2001 Maniacs-2005,2001 Maniacs,2005,Remake
Tokyo Godfathers-2003,Tokyo Godfathers,2003,Remake
3 Idiotas-2017,3 Idiotas,2017,Remake
3:10 to Yuma-2007,3:10 to Yuma,2007,Remake
Nineteen Eighty-Four-1984,Nineteen Eighty-Four,1984,Remake
A Southern Yankee-1948,A Southern Yankee,1948,Remake
Abbott and Costello in Hollywood-1945,Abbott and Costello in Hollywood,1945,Remake
Adventures in Babysitting-2016,Adventures in Babysitting,2016,Remake
An Affair to Remember-1957,An Affair to Remember,1957,Remake
Against All Odds-1984,Against All Odds,1984,Remake
Airplane!-1980,Airplane!,1980,Remake
Aladdin-2019,Aladdin,2019,Remake
Alfie-2004,Alfie,2004,Remake
Algiers-1938,Algiers,1938,Remake
All Quiet on the Western Front-1979,All Quiet on the Western Front,1979,Remake
Always-1989,Always,1989,Remake
The Amityville Horror-2005,The Amityville Horror,2005,Remake
Anna Karenina-2012,Anna Karenina,2012,Remake
And God Created Woman-1988,And God Created Woman,1988,Remake
And Soon the Darkness-2010,And Soon the Darkness,2010,Remake
Angels in the Outfield-1994,Angels in the Outfield,1994,Remake
Angel on My Shoulder-1980,Angel on My Shoulder,1980,Remake
Annie-2014,Annie,2014,Remake
Annavaram-2006,Annavaram,2006,Remake
Anthropophagous 2000-1999,Anthropophagous 2000,1999,Remake
Applause-1973,Applause,1973,Remake
April Fool's Day-2008,April Fool's Day,2008,Remake
Around the World in 80 Days-2004,Around the World in 80 Days,2004,Remake
The Arena-2001,The Arena,2001,Remake
Arthur-2011,Arthur,2011,Remake
Assault on Precinct 13-2005,Assault on Precinct 13,2005,Remake
Attack of the 50 Ft. Woman-1993,Attack of the 50 Ft. Woman,1993,Remake
Babes in Toyland-1997,Babes in Toyland,1997,Remake
The Bachelor-1999,The Bachelor,1999,Remake
Back Street-1961,Back Street,1961,Remake
Bad News Bears-2005,Bad News Bears,2005,Remake
The Ballad of Narayama-1983,The Ballad of Narayama,1983,Remake
The Bad Seed-2018,The Bad Seed,2018,Remake
Bangkok Dangerous-2008,Bangkok Dangerous,2008,Remake
Barb Wire-1996,Barb Wire,1996,Remake
The Battle of the Sexes-1928,The Battle of the Sexes,1928,Remake
The Magnificent Seven-2016,The Magnificent Seven,2016,Remake
The Beat that My Heart Skipped-2005,The Beat that My Heart Skipped,2005,Remake
The Last Remake of Beau Geste-1977,The Last Remake of Beau Geste,1977,Remake
Beauty and the Beast-2017,Beauty and the Beast,2017,Remake
Bedazzled-2000,Bedazzled,2000,Remake
The Beguiled-2017,The Beguiled,2017,Remake
Being Julia-2004,Being Julia,2004,Remake
Ben-Hur-2016,Ben-Hur,2016,Remake
Beongeoli Sam-ryong-1964,Beongeoli Sam-ryong,1964,Remake
Between Us Girls-1942,Between Us Girls,1942,Remake
Beyond a Reasonable Doubt-2009,Beyond a Reasonable Doubt,2009,Remake
The Big Show-1961,The Big Show,1961,Remake
The Big Sleep-1978,The Big Sleep,1978,Remake
The Birdcage-1996,The Birdcage,1996,Remake
Billy Jack Goes to Washington-1977,Billy Jack Goes to Washington,1977,Remake
Black Caesar-1973,Black Caesar,1973,Remake
Black Christmas-2019,Black Christmas,2019,Remake
Blame it on Rio-1984,Blame it on Rio,1984,Remake
The Blob-1988,The Blob,1988,Remake
Blood Diner-1987,Blood Diner,1987,Remake
The Blue Angel-1959,The Blue Angel,1959,Remake
The Blue Bird-1976,The Blue Bird,1976,Remake
