Movie ID,Original Title,Original Year,Original IMDb ID
13 Tzameti-2005,13 Tzameti,2005,tt0475169
Le Corbeau-1943,Le Corbeau,1943,tt0035753
One Hundred and One Dalmatians-1961,One Hundred and One Dalmatians,1961,tt0055254
Two Thousand Maniacs!-1964,Two Thousand Maniacs!,1964,tt0058694
The Three Godfathers-1916,The Three Godfathers,1916,tt0007453
3 Idiots-2009,3 Idiots,2009,tt1187043
3:10 to Yuma-1957,3:10 to Yuma,1957,tt0050086
1984-1953,1984,1953,
The General-1926,The General,1926,tt0017925
Free and Easy-1930,Free and Easy,1930,tt0020902
Adventures in Babysitting-1987,Adventures in Babysitting,1987,tt0092513
Love Affair-1939,Love Affair,1939,tt0031593
Out of the Past-1947,Out of the Past,1947,tt0039689
Zero Hour!-1957,Zero Hour!,1957,tt0051221
Aladdin-1992,Aladdin,1992,tt0103639
Alfie-1966,Alfie,1966,tt0060086
Pépé le Moko-1937,Pépé le Moko,1937,tt0029453
All Quiet on the Western Front-1930,All Quiet on the Western Front,1930,tt0020629
A Guy Named Joe-1943,A Guy Named Joe,1943,tt0035959
The Amityville Horror-1979,The Amityville Horror,1979,tt0078767
Love-1927,Love,1927,tt0018107
Et Dieu... créa la femme-1956,Et Dieu... créa la femme,1956,
And Soon the Darkness-1970,And Soon the Darkness,1970,tt0065398
Angels in the Outfield-1951,Angels in the Outfield,1951,tt0043286
Angel on My Shoulder-1946,Angel on My Shoulder,1946,tt0038300
Annie-1982,Annie,1982,tt0083564
Thirupaachi-2005,Thirupaachi,2005,tt0475756
Antropophagus-1980,Antropophagus,1980,tt0082479
All About Eve-1950,All About Eve,1950,tt0042192
April Fool's Day-1986,April Fool's Day,1986,tt0090655
Around the World in Eighty Days-1919,Around the World in Eighty Days,1919,
The Arena-1974,The Arena,1974,tt0069729
Arthur-1981,Arthur,1981,tt0082031
Assault on Precinct 13-1976,Assault on Precinct 13,1976,tt0074156
Attack of the 50 Foot Woman-1958,Attack of the 50 Foot Woman,1958,tt0051380
Babes in Toyland-1934,Babes in Toyland,1934,
