Movie ID,Remake Title,Remake Year,Remake IMDb ID
13-2010,13,2010,tt0798817
The 13th Letter-1951,The 13th Letter,1951,tt0043251
101 Dalmatians-1996,101 Dalmatians,1996,tt0115433
2001 Maniacs-2005,2001 Maniacs,2005,tt0264323
Tokyo Godfathers-2003,Tokyo Godfathers,2003,tt0388473
3 Idiotas-2017,3 Idiotas,2017,tt3685624
3:10 to Yuma-2007,3:10 to Yuma,2007,tt0381849
Nineteen Eighty-Four-1984,Nineteen Eighty-Four,1984,
A Southern Yankee-1948,A Southern Yankee,1948,tt0040825
Abbott and Costello in Hollywood-1945,Abbott and Costello in Hollywood,1945,
Adventures in Babysitting-2016,Adventures in Babysitting,2016,tt4456850
An Affair to Remember-1957,An Affair to Remember,1957,tt0050105
Against All Odds-1984,Against All Odds,1984,tt0086859
Airplane!-1980,Airplane!,1980,tt0080339
Aladdin-2019,Aladdin,2019,tt6139732
Alfie-2004,Alfie,2004,tt0375173
Algiers-1938,Algiers,1938,tt0029855
All Quiet on the Western Front-1979,All Quiet on the Western Front,1979,tt0078753
Always-1989,Always,1989,tt0096794
The Amityville Horror-2005,The Amityville Horror,2005,tt0384806
Anna Karenina-2012,Anna Karenina,2012,tt1781769
And God Created Woman-1988,And God Created Woman,1988,tt0092559
And Soon the Darkness-2010,And Soon the Darkness,2010,tt1391034
Angels in the Outfield-1994,Angels in the Outfield,1994,tt0109127
Angel on My Shoulder-1980,Angel on My Shoulder,1980,tt0080371
Annie-2014,Annie,2014,tt1823664
Annavaram-2006,Annavaram,2006,tt0493389
Anthropophagous 2000-1999,Anthropophagous 2000,1999,tt0202233
Applause-1973,Applause,1973,tt0157321
April Fool's Day-2008,April Fool's Day,2008,tt1018817
Around the World in 80 Days-2004,Around the World in 80 Days,2004,tt0327437
The Arena-2001,The Arena,2001,tt0284867
Arthur-2011,Arthur,2011,tt1334512
Assault on Precinct 13-2005,Assault on Precinct 13,2005,tt0398712
Attack of the 50 Ft. Woman-1993,Attack of the 50 Ft. Woman,1993,tt0106317
Babes in Toyland-1997,Babes in Toyland,1997,tt0168473
The Bachelor-1999,The Bachelor,1999,tt0120596
Back Street-1961,Back Street,1961,tt0054653
Bad News Bears-2005,Bad News Bears,2005,tt0408524
The Ballad of Narayama-1983,The Ballad of Narayama,1983,tt0084390
The Bad Seed-2018,The Bad Seed,2018,tt4823992
Bangkok Dangerous-2008,Bangkok Dangerous,2008,tt0814022
Barb Wire-1996,Barb Wire,1996,tt0115624
The Battle of the Sexes-1928,The Battle of the Sexes,1928,tt0018678
The Magnificent Seven-2016,The Magnificent Seven,2016,tt2404435
The Beat that My Heart Skipped-2005,The Beat that My Heart Skipped,2005,
The Last Remake of Beau Geste-1977,The Last Remake of Beau Geste,1977,tt0076297
Beauty and the Beast-2017,Beauty and the Beast,2017,tt2771200
Bedazzled-2000,Bedazzled,2000,tt0230030
The Beguiled-2017,The Beguiled,2017,tt5592248
Being Julia-2004,Being Julia,2004,tt0340012
Ben-Hur-2016,Ben-Hur,2016,tt2638144
Beongeoli Sam-ryong-1964,Beongeoli Sam-ryong,1964,
Between Us Girls-1942,Between Us Girls,1942,tt0034509
Beyond a Reasonable Doubt-2009,Beyond a Reasonable Doubt,2009,tt1183251
The Big Show-1961,The Big Show,1961,tt0054681
The Big Sleep-1978,The Big Sleep,1978,tt0077234
The Birdcage-1996,The Birdcage,1996,tt0115685
Billy Jack Goes to Washington-1977,Billy Jack Goes to Washington,1977,tt0075754
Black Caesar-1973,Black Caesar,1973,tt0069792
Black Christmas-2019,Black Christmas,2019,tt10481868
Blame it on Rio-1984,Blame it on Rio,1984,
The Blob-1988,The Blob,1988,tt0094761
