,Movie ID Remake,Remake Title,Remake Year,Type Remake,Movie ID Original,Original Title,Original Year,Type Original
0,13-2010,13,2010,Remake,13 Tzameti-2005,13 Tzameti,2005,Original
1,The 13th Letter-1951,The 13th Letter,1951,Remake,Le Corbeau-1943,Le Corbeau,1943,Original
2,101 Dalmatians-1996,101 Dalmatians,1996,Remake,One Hundred and One Dalmatians-1961,One Hundred and One Dalmatians,1961,Original
3,2001 Maniacs-2005,2001 Maniacs,2005,Remake,Two Thousand Maniacs!-1964,Two Thousand Maniacs!,1964,Original
4,Tokyo Godfathers-2003,Tokyo Godfathers,2003,Remake,The Three Godfathers-1916,The Three Godfathers,1916,Original
5,3 Idiotas-2017,3 Idiotas,2017,Remake,3 Idiots-2009,3 Idiots,2009,Original
6,3:10 to Yuma-2007,3:10 to Yuma,2007,Remake,3:10 to Yuma-1957,3:10 to Yuma,1957,Original
7,Nineteen Eighty-Four-1984,Nineteen Eighty-Four,1984,Remake,1984-1953,1984,1953,Original
8,A Southern Yankee-1948,A Southern Yankee,1948,Remake,The General-1926,The General,1926,Original
9,Abbott and Costello in Hollywood-1945,Abbott and Costello in Hollywood,1945,Remake,Free and Easy-1930,Free and Easy,1930,Original
10,Adventures in Babysitting-2016,Adventures in Babysitting,2016,Remake,Adventures in Babysitting-1987,Adventures in Babysitting,1987,Original
11,An Affair to Remember-1957,An Affair to Remember,1957,Remake,Love Affair-1939,Love Affair,1939,Original
12,Against All Odds-1984,Against All Odds,1984,Remake,Out of the Past-1947,Out of the Past,1947,Original
13,Airplane!-1980,Airplane!,1980,Remake,Zero Hour!-1957,Zero Hour!,1957,Original
14,Aladdin-2019,Aladdin,2019,Remake,Aladdin-1992,Aladdin,1992,Original
15,Alfie-2004,Alfie,2004,Remake,Alfie-1966,Alfie,1966,Original
16,Algiers-1938,Algiers,1938,Remake,Pépé le Moko-1937,Pépé le Moko,1937,Original
17,All Quiet on the Western Front-1979,All Quiet on the Western Front,1979,Remake,All Quiet on the Western Front-1930,All Quiet on the Western Front,1930,Original
18,Always-1989,Always,1989,Remake,A Guy Named Joe-1943,A Guy Named Joe,1943,Original
19,The Amityville Horror-2005,The Amityville Horror,2005,Remake,The Amityville Horror-1979,The Amityville Horror,1979,Original
20,Anna Karenina-2012,Anna Karenina,2012,Remake,Love-1927,Love,1927,Original
21,And God Created Woman-1988,And God Created Woman,1988,Remake,Et Dieu... créa la femme-1956,Et Dieu... créa la femme,1956,Original
22,And Soon the Darkness-2010,And Soon the Darkness,2010,Remake,And Soon the Darkness-1970,And Soon the Darkness,1970,Original
23,Angels in the Outfield-1994,Angels in the Outfield,1994,Remake,Angels in the Outfield-1951,Angels in the Outfield,1951,Original
24,Angel on My Shoulder-1980,Angel on My Shoulder,1980,Remake,Angel on My Shoulder-1946,Angel on My Shoulder,1946,Original
25,Annie-2014,Annie,2014,Remake,Annie-1982,Annie,1982,Original
26,Annavaram-2006,Annavaram,2006,Remake,Thirupaachi-2005,Thirupaachi,2005,Original
27,Anthropophagous 2000-1999,Anthropophagous 2000,1999,Remake,Antropophagus-1980,Antropophagus,1980,Original
28,Applause-1973,Applause,1973,Remake,All About Eve-1950,All About Eve,1950,Original
29,April Fool's Day-2008,April Fool's Day,2008,Remake,April Fool's Day-1986,April Fool's Day,1986,Original
30,Around the World in 80 Days-2004,Around the World in 80 Days,2004,Remake,Around the World in Eighty Days-1919,Around the World in Eighty Days,1919,Original
31,The Arena-2001,The Arena,2001,Remake,The Arena-1974,The Arena,1974,Original
32,Arthur-2011,Arthur,2011,Remake,Arthur-1981,Arthur,1981,Original
33,Assault on Precinct 13-2005,Assault on Precinct 13,2005,Remake,Assault on Precinct 13-1976,Assault on Precinct 13,1976,Original
34,Attack of the 50 Ft. Woman-1993,Attack of the 50 Ft. Woman,1993,Remake,Attack of the 50 Foot Woman-1958,Attack of the 50 Foot Woman,1958,Original
